Session,Session Title,Module,Sub Title,Lesson Description
1,Strategic Foundations,1,Introduction: Idea to Impact Accelerator,"Introduction to the accelerator, what do we cover, why Coach House?, how does it work?"
1,,2.1,Start with your why,How does your personal story relate to what you want to do?
1,,2.2,What is the Need?,Using AI to explore how to establish a clearly articulated need statement
1,,2.3,AI The Need,
2,"Mission, Vision & Values",1,Mission,Why do you exist? 
2,,2,Vision,Where do you want to go?
2,,3,Values,What do you believe?
3,Theory of Change & Systems Thinking,1,Theory of Change,"Moving from why to what, one step ahead of program design."
3,,2,Systems Thinking,"Applying a ""lens"" through which to consider the complex setting in which your program seeks to achieve its purpose."
4,Piloting Programs,1,Program: Develop a Pilot,"Why ""pilot"" a program?"
4,,2,Program Models,Exploring various ways programs are created
4,,3,Designing your Pilot,Creating a full description of the program you will run.  
4,,4,Evaluation,"Learn how to design a simple, practical evaluation approach that measures whether your program is achieving the outcomes you intend."
5,Budgets,1,Budgeting for a Program,"Learn how to build a realistic program budget that reflects true costs, staffing needs, and operational requirements."
5,,2,Budgeting for an Organization,Understand how individual program budgets roll up into a full organizational budget that supports sustainability and growth.
5,,3,Multi-year Budgeting,"Learn why and how to project income, expenses, and impact over a three-year period to support planning and fundraising."
5,,4,Mid year budget usage,"Learn how to use your budget as a management tool during the year to track performance, make adjustments, and avoid surprises."
6,Intro to NFP Financials,1,From Budgeting to Bookkeeping,Understand how your budget translates into bookkeeping practices so your financial records match your plans.
6,,2,"Financials (IE, BS, COA)",Learn how to read and interpret core nonprofit financial statements so you can make informed leadership decisions.
7,Fundraising,1,Mindset,Explore the mindset shift required to see fundraising as relationship-building rather than asking for money.
,,2,Segmentation,Learn how to categorize donors and prospects so you can tailor outreach and increase effectiveness.
,,3,Treasure Mapping,"Identify who in your network has access to resources, influence, or connections that can support your mission."
,,4,Donor Journey,Understand the stages donors move through—from awareness to commitment—and how to support them at each step.
,,5,Channels,Learn how to select and use fundraising channels that align with your audience and organizational capacity.
,,6,Storytelling & the Ask,"Learn how to tell compelling stories and make clear, confident asks that connect mission to funding."
,,7,Tools & Systems,"Explore practical tools and systems that help you track donors, manage relationships, and scale fundraising efforts."
,,8,Corporate Giving,Learn how corporate philanthropy works and how to position your organization for sponsorships and partnerships.
8,Communications,1,Comms as Mission,Understanding the role of comprehensive communications.
,,2,Branding,Understanding the basics of branding
,,3,Comprehensive Plan,Developing an annual calendar and a 90 day strategy
,,,,
9,Boards that make a difference,1,Intro to Boards,Learn the core role of a nonprofit board and how effective governance supports mission success.
9,,2,"Policy 1 & 2: Ends, Means",Learn how to define organizational purpose (Ends) and executive boundaries (Means) to create clarity and accountability.
9,,3,Policy 3: Board Staff Linkage,Understand how to clearly define the relationship between the board and executive leadership.
9,,4,Policy 4: Board Self Governance,"Learn how boards organize their own work, roles, and responsibilities to function effectively."
9,,5,Annual Calendar,"Learn how to structure an annual board calendar that ensures oversight, strategy, and compliance."
9,,6,"Agendas, Minutes, Resolutions","Learn how to run effective board meetings and document decisions in a clear, professional manner."
