branch,local_head,upstream,matching_remote_head,matching_remote_state,registered_worktree,purpose_or_hold,next_action
agent/accelerator-rail-polish-20260722,d8d46e8d,origin/agent/accelerator-rail-polish-20260722,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/all-coach-assignments,3da7e686,origin/agent/all-coach-assignments,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/batch2-organization-workspace-foundation-20260806,6eb76318,origin/agent/batch2-organization-workspace-foundation-20260806,none,none,/Users/calebhamernick/Development/coach-house-platform-batch2-release,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/coach-organization-review-fixes,20188114,origin/agent/coach-organization-review-fixes,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/documents-banner-polish-20260722,f75856e8,origin/agent/documents-banner-polish-20260722,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/fiscal-coach-milestones-20260727,0994b65b,origin/agent/fiscal-coach-milestones-20260727,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/fiscal-sponsorship-rollout-log,f32a9bd4,origin/agent/fiscal-sponsorship-rollout-log,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/fiscal-sponsorship-w9-release,a91e8f48,origin/agent/fiscal-sponsorship-w9-release,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/member-fiscal-batch-20260723,858d32c6,origin/main,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/native-form-b-signing,4a7175f2,origin/agent/native-form-b-signing,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/organization-coach-assignment-operations,06a9c515,origin/agent/organization-coach-assignment-operations,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/organization-coach-assignment-rls-proof,50618b9d,origin/agent/organization-coach-assignment-rls-proof,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/organization-coach-assignments,a0d5a91b,origin/agent/organization-coach-assignments,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/organization-coach-scoping-control,5e5aed7c,origin/agent/organization-coach-scoping-control,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/organization-coach-scoping-rls-proof,9a292933,origin/agent/organization-coach-scoping-rls-proof,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/organization-kanban-visibility,95fd6030,origin/agent/organization-kanban-visibility,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/organization-setup-recovery-20260805,3dc5d872,origin/agent/organization-setup-recovery-20260805,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/platform-staff-access,ff7aa3ee,origin/agent/platform-staff-access,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/platform-staff-rollout-log,b7dd334d,origin/agent/platform-staff-rollout-log,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/production-merge-20260804,d9368664,origin/agent/production-merge-20260804,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/public-home-map-cleanup-20260722,705c8ec5,origin/agent/public-home-map-cleanup-20260722,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/record-accelerator-rail-rollout,a1eb682f,origin/agent/record-accelerator-rail-rollout,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/record-all-coach-rollout,7dce9cc3,origin/agent/record-all-coach-rollout,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/record-organization-kanban-visibility-rollout,4b5640ab,origin/agent/record-organization-kanban-visibility-rollout,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/record-organization-operations-release,636e32ed,origin/agent/record-organization-operations-release,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/supabase-migration-ledger,33ab7240,origin/agent/supabase-migration-ledger,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
agent/workspace-ontology-batch-20260723,a9c1449b,origin/agent/workspace-ontology-batch-20260723,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
audit/fiscal-sponsorship-readiness-20260728,f97aacf3,origin/audit/fiscal-sponsorship-readiness-20260728,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/ai-auth-runlog-recovery-20260922,6c2e492b,,none,none,,account/profile source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/antigravity-particles-recovery-20260922,48199ba7,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/antigravity-test-20260918,48199ba7,,none,none,/Users/calebhamernick/Development/coach-house-platform-antigravity-test-20260918,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/calendar-review-evidence-recovery-20260922,a8582c2f,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/canonical-local-development-20260902,e749a310,origin/main,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/development-sync-20260907,bb262360,,none,none,/Users/calebhamernick/Development/coach-house-platform-development-sync-20260907,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/documents-calendar-consent-recovery-20260922,911b1d5a,,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/documents-calendar-integration-20260909,911b1d5a,,none,none,/Users/calebhamernick/Development/coach-house-platform-documents-calendar-integration-20260909,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/documents-extraction-reference-20260914,cb9287b1,origin/main,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/fix-supabase-getuser-usage,864bbcf8,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/google-calendar-recovery-20260922,1713e8c3,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/google-drive-ui-evidence-recovery-20260922,961efc07,,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/graphify-setup-20260820,1fbb8487,origin/chore/graphify-setup-20260820,none,none,/private/tmp/coach-house-graphify-setup.Gcq6H9,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/launch-clean-recovery-20260922,f15ce510,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/local-catchup-20260904,bb262360,origin/feat/resource-map-owned-crawler-20260902,none,none,/Users/calebhamernick/Development/coach-house-platform-local-catchup-20260904,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/local-development-20260907,189e0df7,,none,none,/Users/calebhamernick/Development/coach-house-platform,mixed root preservation,preserve; compare file/hunk against current main before reuse
chore/local-feature-baseline-20260914,be09d23a,,be09d23a,same,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/parallel-development-20260914,fd5e5f77,origin/chore/parallel-development-20260914,0f16bcbc,different,/Users/calebhamernick/Development/coach-house-platform-parallel-20260914,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/particles-objective-recovery-20260922,fd5e5f77,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/preserved-crawler-local-baseline-20260914,be09d23a,,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/production-hardening,d74cd775,origin/chore/production-hardening,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/production-readiness-wave-plan-20260810,68c6d46e,origin/chore/production-readiness-wave-plan-20260810,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/quality-gate-efficiency-20260923,6f7796b1,origin/chore/quality-gate-efficiency-20260923,none,none,/Users/calebhamernick/Development/coach-house-platform-quality-gate-efficiency-20260923,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/record-consent-rls-proof-20260814,a244fb0c,origin/chore/record-consent-rls-proof-20260814,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/record-wave7-quality-gate-20260814,f4fcd365,origin/chore/record-wave7-quality-gate-20260814,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/refresh-finance-plan-progress-20260814,1b14d5f8,origin/chore/refresh-finance-plan-progress-20260814,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/release-security-readiness-20260814,f1c3c94d,origin/chore/release-security-readiness-20260814,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/revert-chat-prd-work-20260811,af4be9e0,origin/chore/revert-chat-prd-work-20260811,af4be9e0,same,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/root-sprint-recovery-20260922,e2166119,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/stakeholder-checkpoint-20260916,f971843e,origin/chore/stakeholder-checkpoint-20260916,f971843e,same,/Users/calebhamernick/Development/coach-house-platform-stakeholder-checkpoint-20260916,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/sync-snapshot-catchup-20260907,ebb79320,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/sync-snapshot-documentation-20260907,342310c5,,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/sync-snapshot-documents-20260907,c1775c1f,,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/sync-snapshot-root-20260907,94c283ba,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/workspace-prod-hardening,d1ebbc9b,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/workstream-inventory-20260924,dd48f6f7,origin/main,none,none,/Users/calebhamernick/Development/coach-house-platform-workstream-inventory-20260924,canonical handoff,publish handoff PR; update root copy after final edit
codex/fix-focuos-production-cache,3eadf007,origin/codex/fix-focuos-production-cache,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
codex/mvv-unification,15bc3e14,origin/codex/mvv-unification,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
codex/optimize-prepush-lint,6005358b,origin/codex/optimize-prepush-lint,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
codex/record-mvv-production-rollout,b0cd0542,origin/codex/record-mvv-production-rollout,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
codex/restore-production-migration-history,2de40894,origin/codex/restore-production-migration-history,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
codex/ui-work-2026-07-22,edfdd0c3,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/accept-my-map-second-client-waiver-20260814,f7f8a2bd,origin/docs/accept-my-map-second-client-waiver-20260814,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/finance-find-production-proof-20260813,657acf5b,origin/docs/finance-find-production-proof-20260813,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/finance-prd-closeout-20260814,10958123,origin/docs/finance-prd-closeout-20260814,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/find-wave3-production-proof-20260812,d0a2e348,origin/docs/find-wave3-production-proof-20260812,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/find-wave3-state-proof-20260812,af03355d,origin/docs/find-wave3-state-proof-20260812,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/separate-finder-builder-prd-20260811,66cd134d,origin/docs/separate-finder-builder-prd-20260811,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/signup-production-proof-20260814,4ff1943d,origin/docs/signup-production-proof-20260814,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/user-journeys-flow,67e26289,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/wave-1-production-proof-20260811,65d14d20,origin/docs/wave-1-production-proof-20260811,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/wave-2-production-proof-20260812,c2c08e0a,origin/docs/wave-2-production-proof-20260812,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/wave4-production-proof-20260812,c4e32a86,origin/docs/wave4-production-proof-20260812,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/wave6-evidence-closeout-20260813,09262a48,origin/docs/wave6-evidence-closeout-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/wave6-guides-production-proof-20260813,927bd0a1,origin/docs/wave6-guides-production-proof-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/wave6-release-safety-proof-20260813,da2ff6fa,origin/docs/wave6-release-safety-proof-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/wave6-resource-counts-20260813,b37c9579,origin/docs/wave6-resource-counts-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
docs/workspace-board-proof-20260811,af7dca2f,origin/docs/workspace-board-proof-20260811,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/accelerator-shell,fe3b2b52,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/admin-tools-production-20260920,539e56a5,origin/feat/admin-tools-production-20260920,none,none,/Users/calebhamernick/Development/coach-house-platform-admin-release-20260920,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/app-shell-mobile-navigation-20260922,d1e4b1a1,origin/main,none,none,/Users/calebhamernick/Development/coach-house-platform-app-shell-mobile-navigation-20260922,AppShell/mobile source,preserve; compare file/hunk against current main before reuse
feat/batch3-fiscal-project-operations-20260806,5554526b,origin/feat/batch3-fiscal-project-operations-20260806,none,none,/Users/calebhamernick/Development/coach-house-platform-batch3-release,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/build-collect-navigation-20260902,bb262360,origin/feat/build-collect-navigation-20260902,c7c9e8be,different,/Users/calebhamernick/Development/coach-house-platform-build-collect-navigation-20260902,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/design-edits-20260818,ed200e4a,origin/feat/design-edits-20260818,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/design-edits-20260820,ff55ad3f,origin/feat/design-edits-20260820,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/design-edits-20260827,8a82d2dd,,8a82d2dd,same,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/design-unification-exploration,ebf5bab7,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/design-updates-20260821,fd5a25e8,origin/main,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/development-consolidation-20260902,4c42e323,origin/feat/development-consolidation-20260902,4c42e323,same,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/documentation-marketplace-design-20260904,bb262360,,none,none,/Users/calebhamernick/Development/coach-house-platform-documentation-20260831,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/documentation-site-20260831,35c0a685,origin/main,bc98eb28,different,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/documents-drive-release-20260920,5243ea5c,origin/feat/documents-drive-release-20260920,5243ea5c,same,/Users/calebhamernick/Development/coach-house-platform-documents-release-20260920,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/documents-review-20260914,702b2a8d,origin/feat/documents-review-20260914,702b2a8d,same,/Users/calebhamernick/Development/coach-house-platform-documents-review-20260914,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/finance-board-sharing-20260813,10f04282,origin/feat/finance-board-sharing-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/finance-report-exports-20260813,f00270bb,origin/feat/finance-report-exports-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/finance-reporting-wave5-20260812,84f3a9ad,origin/feat/finance-reporting-wave5-20260812,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/find-bounded-loading-20260811,b25d4384,origin/feat/find-bounded-loading-20260811,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/find-compact-client-20260811,759f0d03,origin/feat/find-compact-client-20260811,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/find-compact-index-20260811,de0589db,origin/feat/find-compact-index-20260811,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/find-detail-on-demand-20260811,89aa2f0a,origin/feat/find-detail-on-demand-20260811,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/find-map-camera-polish-20260828,bb262360,origin/main,064d92e2,different,/Users/calebhamernick/Development/coach-house-platform-find-map-camera-polish-20260828,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/find-resilient-loading-20260812,223d1a4d,origin/feat/find-resilient-loading-20260812,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/find-ui-polish-20260828,bb262360,origin/feat/find-ui-polish-20260828,none,none,/Users/calebhamernick/Development/coach-house-platform-find-ui-polish-20260828,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/find-varied-resource-guides-20260813,9f03aaab,origin/feat/find-varied-resource-guides-20260813,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/find-weather-cooling-20260828,bb262360,origin/feat/find-weather-cooling-20260828,df29fce1,different,/Users/calebhamernick/Development/coach-house-platform-find-weather-cooling-20260828,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/google-auth-production-rollout-20260829,556edef5,origin/feat/google-auth-production-rollout-20260829,none,none,,account/profile source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/google-calendar-resume-20260922,508b8df0,origin/main,none,none,/Users/calebhamernick/Development/coach-house-platform-google-calendar-resume-20260922,Calendar source,preserve; compare file/hunk against current main before reuse
feat/google-calendar-review-20260914,a8582c2f,origin/feat/google-calendar-review-20260914,6ce80db6,different,/Users/calebhamernick/Development/coach-house-platform-google-calendar-review-20260914,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/google-calendar-sync-20260908,1713e8c3,,none,none,/Users/calebhamernick/Development/coach-house-platform-google-calendar-20260908,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/google-drive-documents,bb262360,origin/feat/google-drive-documents,none,none,/Users/calebhamernick/Development/coach-house-platform-google-drive-documents-20260831,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/google-drive-ui-iteration-20260904,961efc07,origin/main,none,none,/Users/calebhamernick/Development/coach-house-platform-google-drive-ui-20260904,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/homepage-redesign-20260826,fd5a25e8,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/homepage-redesign-20260828,6011037d,origin/feat/homepage-redesign-20260828,6011037d,same,/Users/calebhamernick/Development/coach-house-platform-homepage-redesign-20260828,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/legal-policy-consent-20260812,8a717424,origin/feat/legal-policy-consent-20260812,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/mobile-experience-20260912,ec0b73d4,origin/feat/mobile-experience-20260912,ec0b73d4,same,/Users/calebhamernick/Development/coach-house-platform-mobile-experience-20260912,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/my-map-account-sync-20260812,f3ec52f5,origin/feat/my-map-account-sync-20260812,none,none,,account/profile source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/my-map-guest-collection-20260812,d1b46d40,origin/feat/my-map-guest-collection-20260812,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/my-map-resilience-20260812,5cdaafa0,origin/feat/my-map-resilience-20260812,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/nfp-org-plan-builder-prototype,9d62d6d8,origin/main,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/public-docs-marketplace-resume-20260922,3b91b2ad,origin/main,none,none,/Users/calebhamernick/Development/coach-house-platform-public-docs-resume-20260922,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/public-documentation-content-20260922,67c7fa8d,origin/main,none,none,/Users/calebhamernick/Development/coach-house-platform-public-documentation-content-20260922,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/public-documentation-release-20260923,ef459f3c,origin/feat/public-documentation-release-20260923,ef459f3c,same,/Users/calebhamernick/Development/coach-house-platform-public-documentation-release-20260923,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/public-home-find-parity-2026-07-13,76cdb3fb,origin/feat/public-home-find-parity-2026-07-13,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/public-impact-profiles-20260831,bb262360,origin/feat/public-impact-profiles-20260831,4b046d54,different,/Users/calebhamernick/Development/coach-house-platform-public-impact-profiles-20260831,account/profile source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/public-profile-activation-20260902,bb262360,origin/feat/public-profile-activation-20260902,none,none,/Users/calebhamernick/Development/coach-house-platform-dev,account/profile source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/public-profiles-marketplace-people-20260922,6b3be0b6,origin/main,none,none,/Users/calebhamernick/Development/coach-house-platform-public-profiles-marketplace-people-20260922,Marketplace people source,preserve; compare file/hunk against current main before reuse
feat/resource-cook-county-review-refresh-20260813,0d2b1ab7,origin/feat/resource-cook-county-review-refresh-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/resource-housing-evidence-20260813,c7241193,origin/feat/resource-housing-evidence-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
