path,branch,head,status,next_action
/Users/calebhamernick/Development/coach-house-platform,chore/local-development-20260907,189e0df7,clean,keep clean; select lane before editing
/private/tmp/coach-house-documents-hardening-qa-20260909,,ed93b344,stale registration,preserve; no prune
/private/tmp/coach-house-documents-qa-20260908,,be09d23a,stale registration,preserve; no prune
/private/tmp/coach-house-documents-release-qa-20260908,,be09d23a,stale registration,preserve; no prune
/private/tmp/coach-house-find-active-count-20260820,fix/find-stable-active-count-20260820,69a5dd06,stale registration,preserve; no prune
/private/tmp/coach-house-find-org-profile-recovery.6qo0ah,recovery/find-organization-profile-20260820,4b27fa12,stale registration,preserve; no prune
/private/tmp/coach-house-graphify-setup.Gcq6H9,chore/graphify-setup-20260820,1fbb8487,stale registration,preserve; no prune
/private/tmp/coach-house-nfp-recovered.V0smxK,,9d07df4c,stale registration,preserve; no prune
/private/tmp/coach-house-pr231-stack-qa-20260910,,0e03bb7d,stale registration,preserve; no prune
/private/tmp/coach-house-workspace-access.qTQYsm,feat/workspace-access-drawer-20260818,1a0fd0ea,stale registration,preserve; no prune
/Users/calebhamernick/Development/coach-house-platform-admin-release-20260920,feat/admin-tools-production-20260920,539e56a5,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-ai-auth-fix-20260914,fix/management-developer-authorization-20260914,6c2e492b,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-antigravity-test-20260918,chore/antigravity-test-20260918,48199ba7,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-app-shell-mobile-navigation-20260922,feat/app-shell-mobile-navigation-20260922,d1e4b1a1,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-batch2-release,agent/batch2-organization-workspace-foundation-20260806,6eb76318,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-batch3-release,feat/batch3-fiscal-project-operations-20260806,5554526b,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-build-collect-navigation-20260902,feat/build-collect-navigation-20260902,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-coach-unassigned-visibility-20260922,fix/coach-unassigned-org-visibility-20260922,793d02f1,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-dev,feat/public-profile-activation-20260902,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-development-sync-20260907,chore/development-sync-20260907,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-documentation-20260831,feat/documentation-marketplace-design-20260904,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-documents-calendar-integration-20260909,chore/documents-calendar-integration-20260909,911b1d5a,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-documents-release-20260920,feat/documents-drive-release-20260920,5243ea5c,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-documents-review-20260914,feat/documents-review-20260914,702b2a8d,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-find-drawer-initial-collapsed-20260829,fix/find-drawer-initial-collapsed-20260829,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-find-map-camera-polish-20260828,feat/find-map-camera-polish-20260828,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-find-ui-polish-20260828,feat/find-ui-polish-20260828,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-find-weather-cooling-20260828,feat/find-weather-cooling-20260828,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-google-auth-rollout-20260829,fix/onboarding-step-submit-race-20260829,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-google-calendar-20260908,feat/google-calendar-sync-20260908,1713e8c3,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-google-calendar-resume-20260922,feat/google-calendar-resume-20260922,508b8df0,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-google-calendar-review-20260914,feat/google-calendar-review-20260914,a8582c2f,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-google-drive-documents-20260831,feat/google-drive-documents,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-google-drive-switch-20260903,fix/google-drive-connection-switch,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-google-drive-ui-20260904,feat/google-drive-ui-iteration-20260904,961efc07,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-google-homepage-branding-20260912,fix/google-homepage-branding-20260912,86e64106,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-google-privacy-release-20260911,fix/google-integration-privacy-20260911,8f3382ae,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-homepage-redesign-20260828,feat/homepage-redesign-20260828,6011037d,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-launch-clean,launch/canvas-map-implementation,f15ce510,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-local-catchup-20260904,chore/local-catchup-20260904,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-login-hotfix,hotfix/login-hcaptcha,d48daff2,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-migration-history-reconcile-20260902,fix/migration-history-reconcile-20260902,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-mobile-experience-20260912,feat/mobile-experience-20260912,ec0b73d4,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-onboarding-test-isolation-20260924,fix/onboarding-action-test-isolation-20260924,417c97c3,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-parallel-20260914,chore/parallel-development-20260914,fd5e5f77,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-particles-objective-resume-20260922,feat/workspace-particles-objective-resume-20260922,c855aea6,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-pr229-base-repair-20260909,fix/development-consolidation-base-20260909,4c42e323,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-pr231-stack-repair-20260910,fix/resource-map-stack-base-20260910,ad4c5541,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-pricing-return-hotfix,hotfix/onboarding-pricing-return,0248b50d,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-profile-settings-fix-20260914,fix/profile-settings-completion-20260914,5e1fac10,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-public-docs-resume-20260922,feat/public-docs-marketplace-resume-20260922,3b91b2ad,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-public-documentation-content-20260922,feat/public-documentation-content-20260922,67c7fa8d,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-public-documentation-production-20260924,chore/preserve-s02-closeout-local-20260924,80cb2c3f,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-public-documentation-production-20260924,preservation/s02-closeout-local-20260924,80cb2c3f,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-public-documentation-release-20260923,feat/public-documentation-release-20260923,ef459f3c,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-public-impact-profiles-20260831,feat/public-impact-profiles-20260831,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-public-legal-links-20260911,fix/public-home-legal-links-20260911,1a41dac1,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-public-profiles-marketplace-people-20260922,feat/public-profiles-marketplace-people-20260922,6b3be0b6,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-quality-gate-efficiency-20260923,chore/quality-gate-efficiency-20260923,6f7796b1,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-resource-map-enrichment-20260831,feat/resource-map-enrichment-20260831,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-resource-map-preview-isolation-20260828,fix/resource-map-preview-isolation-20260828,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-stakeholder-checkpoint-20260916,chore/stakeholder-checkpoint-20260916,f971843e,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-subscription-sync-hotfix,hotfix/subscription-sync,043a25ac,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-team-release-20260920,feat/team-internal-tooling-release-20260920,b7c9a0c3,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-tools-20260828,feat/workspace-tools-center-20260828,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-tools-hotfix-20260828,fix/hide-unready-tools-20260828,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-unified-profile-settings-20260903,feat/unified-profile-settings-20260903,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-workspace-access-management-20260831,feat/workspace-access-management-20260831,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-workspace-ui-polish-20260828,feat/workspace-ui-polish-20260828,bb262360,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-workspace-width-hotfix-20260921,fix/workspace-tab-widths-20260921,00fd0d81,clean,keep clean; select lane before editing
/Users/calebhamernick/Development/coach-house-platform-workstream-inventory-20260924,chore/workstream-inventory-20260924,dd48f6f7,clean,keep clean; select lane before editing
